Feature,Importance
particulate_cpm,0.2351512898666551
airborne_gamma_uSvph,0.209294859178476
radiation_index,0.1844260705655068
sump_flow_lpm,0.11896476918239632
makeup_flow_lpm,0.0987909705215646
pc_01,0.07082316076836316
rcs_mass_balance_lpm,0.026651096444181496
pressurizer_pressure_MPa,0.025057736825523855
pressurizer_level_pct,0.018386474637257077
hydraulic_imbalance_index,0.008036582990657815
thermal_stress_index,0.0018737387302738507
temp_gradient_C,0.0015742338146354192
rcs_hot_leg_temp_C,0.000564900124899587
rcs_cold_leg_temp_C,0.00023273351585065177
pc_02,5.830814402826609e-05
pc_05,4.4298170625826736e-05
letdown_flow_lpm,4.190000087598908e-05
pump_vibration_mm_s,1.5628418199009063e-05
pc_03,6.900788387689214e-06
pc_04,4.347311641505534e-06
containment_humidity_pct,0.0
