,0
ground_truth_event_id,0.910813492063492
airborne_gamma_uSvph,0.04528769841269841
particulate_cpm,0.039632936507936506
rcs_mass_balance_lpm,0.039186507936507936
letdown_flow_lpm,0.020535714285714286
makeup_flow_lpm,0.019196428571428573
sump_flow_lpm,0.018948412698412697
pump_vibration_mm_s,0.01765873015873016
pressurizer_level_pct,0.0
unit_id,0.0
plant_id,0.0
rcs_cold_leg_temp_C,0.0
rcs_hot_leg_temp_C,0.0
pressurizer_pressure_MPa,0.0
primary_flow_kgps,0.0
containment_temp_C,0.0
valve_position_pct,0.0
containment_humidity_pct,0.0
steam_generator_dp_kPa,0.0
neutron_flux_pctFP,0.0
hydrogen_ppm,0.0
feedwater_flow_kgps,0.0
turbine_power_MWe,0.0
temp_gradient_C,0.0
ground_truth_leak_flag,0.0
ground_truth_leak_rate_lpm,0.0
pressurizer_level_slope,0.0
