event_id,start_idx,end_idx,start_time,end_time,leak_type,leak_rate_lpm
leak_1,6474,6520,2025-08-05 11:54:00,2025-08-05 12:40:00,gradual,36.51342478959848
leak_2,3714,3875,2025-08-03 13:54:00,2025-08-03 16:35:00,gradual,38.03846873484814
leak_3,8105,8246,2025-08-06 15:05:00,2025-08-06 17:26:00,rapid,72.0769941364795
leak_4,10493,10836,2025-08-08 06:53:00,2025-08-08 12:36:00,gradual,25.5002096477419
leak_5,12869,13206,2025-08-09 22:29:00,2025-08-10 04:06:00,rapid,74.63847259058085
leak_6,11761,11906,2025-08-09 04:01:00,2025-08-09 06:26:00,gradual,21.443940875855326
leak_7,18536,18718,2025-08-13 20:56:00,2025-08-13 23:58:00,rapid,71.53975662283437
leak_8,10654,10936,2025-08-08 09:34:00,2025-08-08 14:16:00,rapid,64.53929459491323
false_rad_1,8868,8873,,,,
false_rad_2,18173,18227,,,,
false_rad_3,7148,7208,,,,
false_hum_1,17145,17206,,,,
false_hum_2,19735,19886,,,,
